bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.08,0.0,0.0,0.0,0.09033448961046008,0.09033448961046008,0.4245945945945948,2.6054054054054054,1
0.07,0.025,0.115,0.0,0.0,0.0,1.0756140350877192,1.954385964912281,0
0.075,0.005,0.015,0.0,0.07916683620876735,0.07916683620876735,0.2782758620689654,2.751724137931035,0
0.0,0.02,0.065,0.0,0.0791668521033393,0.0791668521033393,1.6744444444444442,1.355555555555556,0
0.01,0.015,0.045,0.09033448961046008,0.0,0.09033448961046008,0.7972131147540984,2.232786885245902,0
0.02,0.005,0.005,0.0,0.0,0.0,0.9084313725490194,2.121568627450981,0
0.04,0.005,0.0,0.0,0.0,0.0,4.466363636363637,1.4363636363636365,1
0.04,0.01,0.025,0.0,0.0,0.0,2.765483870967742,0.2645161290322582,0
0.03,0.005,0.045,0.0,0.0,0.0,0.7478082191780824,2.282191780821918,0
0.03,0.01,0.025,0.0,0.07313274807400173,0.07313274807400173,0.11395061728395062,2.9160493827160496,0
0.035,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.005,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.065,0.005,0.0,0.0,0.0,0.0,0.22999999999999998,2.8000000000000003,0
0.515,0.02,0.16,0.0,0.0,0.0,3.898965517241379,0.8689655172413788,2
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.15,0.01,0.02,0.10513695610894097,0.07916683620876735,0.025970119900173613,0.15653061224489795,2.8734693877551023,0
0.635,0.03,0.19,0.07916683620876735,0.0,0.07916683620876735,0.3485714285714283,3.3785714285714286,2
0.525,0.035,0.235,0.15595821804470486,0.0,0.15595821804470486,0.3783870967741936,2.6516129032258067,2
0.03,0.005,0.015,0.0,0.03973702324761285,0.03973702324761285,0.24605839416058384,2.7839416058394164,0
0.035,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.04,0.01,0.035,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.035,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.035,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.035,0.005,0.02,0.0,0.0,0.0,3.4014285714285712,0.371428571428571,0
0.025,0.005,0.025,0.0,0.0,0.0,0.8018309859154931,2.228169014084507,0
0.04,0.005,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.015,0.015,0.03,0.0,0.0,0.0,0.5875757575757579,2.4424242424242424,0
0.055,0.02,0.095,0.0,0.0,0.0,1.014615384615385,2.0153846153846153,0
0.035,0.01,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.135,0.02,0.15,0.0,0.1051369137234158,0.1051369137234158,2.8925,0.13750000000000018,2
0.035,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.035,0.015,0.01,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.145,0.01,0.01,0.12566587660047743,0.12566587660047743,0.0,0.20500000000000007,2.825,0
0.635,0.03,0.175,0.12566587660047743,0.0,0.12566587660047743,0.45813559322033903,3.4881355932203393,2
0.085,0.005,0.025,0.0,0.07044652303059896,0.07044652303059896,0.2782758620689654,2.751724137931035,0
0.495,0.03,0.185,0.0,0.0,0.0,3.8481818181818186,0.8181818181818183,2
0.035,0.015,0.02,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.045,0.015,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.07,0.005,0.0,0.0,0.0,0.0,0.2430434782608697,2.7869565217391306,0
0.53,0.02,0.16,0.0,0.0,0.0,3.8633333333333333,0.833333333333333,2
0.035,0.015,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.05,0.0,0.005,0.0,0.0,0.0,3.5707407407407405,0.5407407407407403,0
0.08,0.005,0.005,0.10513695610894097,0.09033448961046008,0.014802466498480903,0.22784946236559156,2.8021505376344087,0
0.52,0.025,0.17,0.10513695610894097,0.0,0.10513695610894097,3.9299999999999997,0.8999999999999995,2
0.14,0.01,0.015,0.10513695610894097,0.10513695610894097,0.0,0.19423841059602642,2.835761589403974,1
0.925,0.035,0.225,0.10513695610894097,0.09033447901407878,0.19547143512301976,3.0868807339449544,0.05688073394495419,2
0.035,0.02,0.07,0.07044657071431477,0.0,0.07044657071431477,0.8966666666666665,2.1333333333333337,0
0.005,0.0,0.01,0.0,0.0,0.0,0.3236708860759494,2.706329113924051,0
0.035,0.005,0.015,0.0,0.0,0.0,3.5707407407407405,0.5407407407407403,0
0.015,0.0,0.015,0.0,0.0,0.0,0.6656164383561642,2.364383561643836,0
0.03,0.01,0.01,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.03,0.01,0.01,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.035,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.03,0.01,0.01,0.0,0.0,0.0,3.33,0.2999999999999998,0
0.03,0.01,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.03,0.01,0.025,0.0,0.0,0.0,2.765483870967742,0.2645161290322582,0
0.035,0.005,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.195,0.04,0.025,0.07916683620876735,0.10513695610894097,0.025970119900173613,0.26046357615894067,2.7695364238410596,0
0.03,0.0,0.025,0.0,0.0,0.0,0.693013698630137,2.3369863013698633,0
0.035,0.01,0.025,0.0,0.0,0.0,2.765483870967742,0.2645161290322582,0
0.02,0.005,0.02,0.0,0.0,0.0,0.640810810810811,2.389189189189189,0
0.035,0.005,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.035,0.01,0.025,0.0,0.0,0.0,2.765483870967742,0.2645161290322582,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.075,0.025,0.125,0.0,0.0,0.0,1.396037735849057,1.6339622641509433,0
0.045,0.0,0.035,0.0,0.0,0.0,1.8966666666666665,1.1333333333333337,0
0.04,0.015,0.03,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.03,0.02,0.055,0.0,0.0,0.0,0.5366666666666666,2.4933333333333336,0
0.035,0.01,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.04,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
0.055,0.005,0.015,0.0,0.12566587660047743,0.12566587660047743,4.308260869565218,1.2782608695652176,0
0.04,0.01,0.03,0.0,0.0,0.0,3.4014285714285712,0.371428571428571,0
0.04,0.005,0.03,0.0,0.0,0.0,2.963333333333334,0.06666666666666643,0
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.06,0.005,0.0,0.0,0.15595821804470486,0.15595821804470486,2.4615789473684213,0.5684210526315789,1
0.03,0.005,0.015,0.10513690312703451,0.0,0.10513690312703451,2.765483870967742,0.2645161290322582,0
0.035,0.01,0.015,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.65,0.03,0.185,0.15595821804470486,0.4295533921983507,0.2735951741536458,0.8863380281690141,2.143661971830986,2
0.035,0.015,0.025,0.0,0.0,0.0,2.700967741935484,0.3290322580645162,0
